dataset,mode,target,model,seed,fold,train_r2,train_rmse,train_nrmse,train_mae,test_r2,test_rmse,test_nrmse,test_mae
Dataset_3772,single_output,Hardness (HV),lightgbm,2024,3,0.9898876119452875,0.522008990879212,0.029000499493289558,0.4023135741074247,0.815875922592319,2.5992741968849784,0.16245463730531115,1.7481975639750666
Dataset_3772,single_output,Hardness (HV),lightgbm,2024,4,0.9643201842171931,1.0633149266834032,0.053165746334170164,0.7248901349562608,0.9578126569082456,1.1188587193135227,0.06992866995709517,0.9025469777558044
Dataset_3772,single_output,Hardness (HV),lightgbm,99,0,0.9934126627580036,0.4831202279451459,0.023005725140245042,0.39723685740891873,0.5090712161441427,2.6680456079141393,0.2425496007194672,1.7801091921562975
Dataset_3772,single_output,Hardness (HV),lightgbm,99,1,0.9701589862427578,0.9180342429879585,0.04371591633275993,0.6356194832528353,0.8946716293064298,1.9116091638960115,0.11244759787623597,1.6633290137237537
Dataset_3772,single_output,Hardness (HV),lightgbm,99,2,0.9543761146298266,1.1224007447020377,0.06235559692789098,0.852191753745604,0.9842393147405606,0.7545293560674142,0.035929969336543535,0.6030824131883463
Dataset_3772,single_output,Hardness (HV),lightgbm,99,3,0.9681295993850701,1.07692351508159,0.05128207214674237,0.7469534174673801,0.9138525609848048,0.9262603133845969,0.10291781259828854,0.6607510260965321
Dataset_3772,single_output,Hardness (HV),lightgbm,99,4,0.9717703179246248,0.8900430168890873,0.04238300080424225,0.6408027497713489,0.9089217179842417,2.006497399247349,0.1254060874529593,1.847174947834221
Dataset_3772,single_output,Hardness (HV),gradient_boosting,42,0,0.9790772688261727,0.7520333991678584,0.03760166995839292,0.5308836937042527,0.8782106938701952,2.1998231657911647,0.1374889478619478,1.9669644340492756
Dataset_3772,single_output,Hardness (HV),gradient_boosting,42,1,0.9496855936006239,1.251840766498427,0.05961146507135367,0.9679953338478238,0.8900844966240333,1.77970813226733,0.11864720881782201,1.670377105472984
Dataset_3772,single_output,Hardness (HV),gradient_boosting,42,2,0.9515455207875125,1.1429652809117732,0.06349807116176517,0.9103174399527122,0.9366356431358024,1.47306005819985,0.09206625363749063,1.258876458573614
Dataset_3772,single_output,Hardness (HV),gradient_boosting,42,3,0.9953117558650658,0.40791035441724366,0.019424302591297318,0.3023464251031934,-0.17974074185427114,2.7756853810470856,0.3965264830067265,1.9753454758719349
Dataset_3772,single_output,Hardness (HV),gradient_boosting,42,4,0.956209727513156,1.2262793651348756,0.05839425548261312,0.8540906765341713,0.9234381788741737,1.2054510007649726,0.08036340005099817,1.0978548084662703
Dataset_3772,single_output,Hardness (HV),gradient_boosting,123,0,0.9236772056862944,1.576193146576103,0.07505681650362395,1.3331719619013742,0.8749191636310539,1.8414296887036974,0.10831939345315866,1.5656240880185504
